n,RMSE,MAE,R2,model,subset,fold
1239,45.45861655923814,20.870411996359998,0.7703331914284681,chemberta,da,3
463,40.32685148872878,21.007011031136944,0.79462212038076,chemberta,dad,3
341,78.49149575615519,49.77303196384484,0.3251175146837425,chemberta,bodipy,3
12,35.81880520733799,28.265057881673176,0.34189633445078704,chemberta,cyanine,3
0,,,,chemberta,squaraine,3
318,46.605235414453674,24.84050442820976,0.7651791337456247,chemberta,stilbene,3
1870,69.45915566623192,36.15530324279736,0.6662563367152756,chemberta,non_local,3
3751,53.238166821193886,25.389718831314667,0.7558846267231649,chemberta,full,4
796,104.05148369908915,68.49338788261817,-0.5818476053427675,chemberta,lambda500,4
317,158.99543722936144,137.97045100478363,-4.558689403242431,chemberta,lambda600,4
51,36.83180705566998,23.018625296798408,0.643552687214999,chemberta,azo,4
1208,45.367191255199884,22.068098781676355,0.79190716215374,chemberta,da,4
431,38.7339971282534,19.63241127387208,0.8248111634575754,chemberta,dad,4
347,79.0019219113544,46.70086789529674,0.2666022553108175,chemberta,bodipy,4
13,35.745746462179625,30.006561279296875,0.35189003159378174,chemberta,cyanine,4
0,,,,chemberta,squaraine,4
301,53.27208168542549,28.62183996252985,0.7061221257089193,chemberta,stilbene,4
1847,70.25955696281612,36.18634396534129,0.6591012550412954,chemberta,non_local,4
