subset,n,pct
full,18755,100.0
lambda500,3887,20.73
lambda600,1573,8.39
azo,264,1.41
da,6059,32.31
dad,2188,11.67
bodipy,1766,9.42
cyanine,59,0.31
squaraine,0,0.0
stilbene,1537,8.2
non_local,9229,49.21
