smiles,class_label,xrn
c1ccc2c(c1)ccc1sc3ccc4ccccc4c3c12,POS,19171
C1=C(c2ccccc2)SS2=C1C=C(c1ccccc1)S2,POS,19419
COc1cc2c(cc1OC)C(=O)N(C)C(=O)C2=O,POS,19462
COc1c2ccoc2cc2oc(=O)ccc12,POS,19560
c1ccc2c(c1)Nc1nc3ccccc3nc1S2,POS,19906
CC(=O)SC[C@H]1C(=O)NC(=S)N1C(C)=O,NEG,20129
O=c1c(Br)cc(Br)c2n1C[C@@H]1CNC[C@H]2C1,POS,20354
COc1ccc(/C=C/c2cc(=O)c3ccccc3o2)cc1,POS,20495
COC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,NEG,20706
Cn1c(=O)c2ncnnc2n(C)c1=O,POS,21039
CC(=O)OC1(C)C=C(C)C2C=NNC2(C)C1=O,NEG,22073
CN(C)c1ccc(/C=C/C=C/c2nc3ccccc3s2)cc1,POS,22109
Cc1cc2nc3ccc(N(C)C)cc3nc2cc1N,POS,22518
O=C(/C=C/c1ccccc1)Nc1nc2ccccc2s1,POS,22616
O[C@@H]1C[C@H](c2ccccc2)Oc2ccc(Cl)cc21,POS,23092
c1ccc(C(Nc2ccccn2)Nc2ccccn2)cc1,POS,23182
c1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)o2)cc1,POS,23566
O=C(NN=Cc1cc(Cl)ccc1O)c1ccncc1,POS,23775
COc1ccc2c(=O)cc(/C=C/c3ccccc3)oc2c1,POS,24308
CCOC(=O)c1c([C@@H](O)[C@H](O)[C@H](O)CO)coc1C,NEG,24923
COC1=C(OC)[C@@H]([C@@H]2COC(C)(C)O2)OC1=O,NEG,25042
CCCCn1c2cc(=O)ccc-2nc2ccccc21,POS,25108
COc1ccc(/C=C/c2cc(=O)c3cc(C)ccc3o2)cc1,POS,25169
Cc1ccc(-c2cc(-c3ccccc3)oc2-c2ccccc2)cc1,NEG,25353
O=c1[nH]c(=O)c2nc3c(ccc4ccccc43)nc2[nH]1,POS,27171
CC1(C)CC(=O)C2=C(C1)NC1=C(C2)C(=O)CC(C)(C)C1,POS,27640
COc1ccc(/C=C/c2cc(=O)c3ccccc3o2)cc1OC,POS,27815
C=C1C(=O)O[C@@H]2[C@H]1CC[C@H](C)[C@]1(O)C=CC(=O)[C@@]21C,NEG,28009
Cc1cn([C@H]2C[C@H](O)[C@@H](CBr)O2)c(=O)[nH]c1=O,NEG,28010
O=c1[nH]c(=O)c2nc3cc4ccccc4cc3nc2[nH]1,POS,28198
C/C1=C\CCC23O[C@H]2[C@@H](OC3=O)c2c(C)coc2C1,NEG,28948
O=C1c2ccccc2C(=O)c2cc3c(cc21)sc1ccccc13,POS,29211
COc1ccc2c(=O)c(C)c(/C=C/c3ccccc3)oc2c1,POS,29711
O=C(c1ccc(O)cc1)c1nc(-c2ccc(O)cc2)c[nH]1,POS,29887
COc1cc2cccnc2c2[nH]c3ccccc3c(=O)c12,POS,30335
O[C@@H]1CC=C2CCN3Cc4cc5c(cc4[C@H]1[C@@H]23)OCO5,POS,30363
O=c1c2cc3ccccc3n2c(=O)c2cc3ccccc3n12,POS,30426
O=C(O)[C@H]1CSC(c2nc3ccc(O)cc3s2)=N1,POS,30484
CC(=O)Oc1c2ccccc2nc2c1[nH]c1ccccc12,POS,30558
c1csc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1,POS,30968
O=c1[nH]c(=O)c2nc3ccc4ccccc4c3nc2[nH]1,POS,31121
OC[C@H]1O[C@@H](Oc2ccccc2O)[C@H](O)[C@@H](O)[C@@H]1O,NEG,31153
Brc1ccc(-c2nc3ccccc3nc2Cc2ccccc2)cc1,POS,31160
OC[C@H]1O[C@@H](Oc2cc(O)cc(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,NEG,31426
CC1(C)O[C@@H]2[C@H](O1)[C@@H](CO)O[C@H]2n1ccc(=O)[nH]c1=O,NEG,32671
O=C1/C(=C/c2ccc(O)c(O)c2)COc2cc(O)ccc21,POS,32697
COc1cc(O)cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1,NEG,33139
COc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)ccc1O,NEG,33246
c1ccc(Nc2nnc(Nc3ccccc3)c3ccccc23)cc1,POS,33265
O=S1(=O)NC(c2ccccc2)(c2ccccc2)c2ccccc21,NEG,33618
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1Cl,NEG,33663
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1Br,NEG,33664
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1I,NEG,33665
COc1ccc(/C=C/c2cc(=O)c3ccc(OC)cc3o2)cc1,POS,33738
COc1cc2oc(-c3ccccc3)cc(=O)c2c(O)c1C,POS,34130
COc1ccc(/C=C/C(=O)c2c(O)cc(C)oc2=O)cc1OC,POS,34149
CC(=O)Nc1ccc(C=C2N=C(c3ccccc3)OC2=O)cc1,NEG,34297
OC[C@H]1O[C@@H](Oc2cccc3ccccc23)[C@H](O)[C@@H](O)[C@@H]1O,POS,34364
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,NEG,34611
