smiles,solvent_smiles,log10_mec
O=Cc1ccc2[nH]c3ccccc3c2c1,CO,4.300008202553813
c1ccc(-c2nc3ccccc3[nH]2)cc1,O,4.369994661608428
c1ccc(-c2nc3ccccc3[nH]2)cc1,CO,4.349997839199033
c1ccc(-c2nc3ccccc3[nH]2)cc1,CC#N,4.280008953108186
c1ccc(-c2nc3ccccc3[nH]2)cc1,C1CCCCC1,4.250005028486895
c1ccc(-c2nc3ccccc3[nH]2)cc1,CCO,4.450002630173186
c1ccc(-c2nc3ccccc3[nH]2)cc1,CCO,4.360006132229098
c1ccc(-c2nc3ccccc3[nH]2)cc1,CO,4.651132578550482
O=c1c2ccccc2[nH]c2ccccc12,CC#N,3.9355072658247128
O=c1c2ccccc2[nH]c2ccccc12,CC#N,4.717670503002262
O=c1c2ccccc2[nH]c2ccccc12,CS(C)=O,4.064457989226918
O=c1c2ccccc2[nH]c2ccccc12,CO,4.999734999532677
CC1(C)[C@@H]2CC[C@@]1(C)C(=S)NC2=S,C1CCCCC1,4.477121254719663
CC1(C)[C@@H]2CC[C@@]1(C)C(=S)NC2=S,CO,4.491361693834273
c1ccc(-c2cn3ccccc3n2)cc1,ClCCl,3.8899736384039962
c1ccc(-c2cn3ccccc3n2)cc1,CC#N,3.929418925714293
c1ccc(-c2cn3ccccc3n2)cc1,C1CCCCC1,3.809963521714014
c1ccc(-c2cn3ccccc3n2)cc1,ClCCl,3.9138138523837167
c1ccc(-c2cn3ccccc3n2)cc1,CCO,4.700002397142254
c1ccc(-c2cn3ccccc3n2)cc1,CO,3.949390006644913
c1ccc(-c2cn3ccccc3n2)cc1,Cc1ccccc1,3.9084850188786495
c1ccc2nc3c(nc2c1)CCCCCC3,CO,4.459996761920238
CC1=N/C(=C\c2ccccc2)C(=O)O1,CC#N,4.425909012675203
CC1=N/C(=C\c2ccccc2)C(=O)O1,ClC(Cl)Cl,4.4610931562106115
CC1=N/C(=C\c2ccccc2)C(=O)O1,C1COCCO1,4.3692158574101425
CC1=N/C(=C\c2ccccc2)C(=O)O1,CO,4.225567713439471
CC(=O)c1cc(/C=C/C(=O)O)oc1C,CO,3.249931756634195
c1ccc(-c2coc(-c3ccccc3)c2)cc1,C1CCCCC1,4.47567118832443
c1ccc(-c2coc(-c3ccccc3)c2)cc1,CO,4.372912002970106
c1cncc(-c2nc3ccccc3[nH]2)c1,NC=O,4.2855348061200305
c1cncc(-c2nc3ccccc3[nH]2)c1,CC#N,4.401400540781544
c1cncc(-c2nc3ccccc3[nH]2)c1,C1CCCCC1,4.311753861055754
c1cncc(-c2nc3ccccc3[nH]2)c1,CS(C)=O,1.6812412373755872
c1cncc(-c2nc3ccccc3[nH]2)c1,CCO,4.336459733848529
c1cncc(-c2nc3ccccc3[nH]2)c1,CCOC(C)=O,0.7781512503836436
c1cncc(-c2nc3ccccc3[nH]2)c1,OCC(O)CO,1.6283889300503116
c1cncc(-c2nc3ccccc3[nH]2)c1,CO,4.570542939881897
c1cncc(-c2nc3ccccc3[nH]2)c1,C1CCOC1,0.8750612633917001
COc1ccc(C2SCCS2)cc1,CO,3.671820560183249
Cc1ccc(-c2n[nH]c3ccccc23)cc1,CO,4.2499806059095295
C(=NN=Cc1ccco1)c1ccco1,CCO,4.570426178358972
C(=NN=Cc1ccco1)c1ccco1,CO,4.307496037913213
C(=NN=Cc1cccs1)c1cccs1,CCO,4.5760532609866695
C(=NN=Cc1cccs1)c1cccs1,CO,4.26245108973043
c1ccc2nc3ccc4ccccc4c3cc2c1,CO,4.660001720102883
O=C1NC(=O)n2c1cc1ccccc12,CO,3.662757831681574
O=c1ccc2ccc(O)c(O)c2o1,CO,4.509995092013399
C=CCNC(=S)Nc1nc(C)cs1,ClC(Cl)Cl,4.459844642388208
C=CCNC(=S)Nc1nc(C)cs1,CC#N,4.363799945479109
C=CCNC(=S)Nc1nc(C)cs1,CCO,4.358696099573811
C=CCNC(=S)Nc1nc(C)cs1,CO,4.344588742578714
OC(c1ccc(Cl)cc1)c1cccs1,CO,4.034748743146489
Cc1oc(/C=C/C(=O)O)cc1C(=O)O,CO,3.3900514964589874
O=C(CC(=O)c1cccs1)c1ccccn1,CO,4.369994661608428
Cc1ccc(/C=C/c2ccc(C=O)o2)o1,CO,4.3222192947339195
CN1c2ccccc2Sc2ccccc21,ClC(Cl)(Cl)Cl,3.8195439355418688
CN1c2ccccc2Sc2ccccc21,ClCCl,4.626340367375042
CN1c2ccccc2Sc2ccccc21,ClC(Cl)Cl,4.553883026643875
CN1c2ccccc2Sc2ccccc21,CC#N,3.716003343634799
CN1c2ccccc2Sc2ccccc21,C1CCCCC1,3.7481880270062002
CN1c2ccccc2Sc2ccccc21,ClCCl,4.531300053075186
CN1c2ccccc2Sc2ccccc21,CCOC(C)=O,3.7323937598229686
CN1c2ccccc2Sc2ccccc21,CO,2.9822712330395684
CN1c2ccccc2Sc2ccccc21,CC1CCCCC1,1.9444826721501687
CCOc1cc2c(cc1OC)C(=O)NCC2,CO,4.490000641890952
c1cncc(N=NNc2cccnc2)c1,CO,4.200001865406602
O=c1c2ccccc2ncn1-c1ccccc1,ClC(Cl)Cl,3.9400181550076634
O=c1c2ccccc2ncn1-c1ccccc1,CCO,4.450002630173186
O=c1c2ccccc2ncn1-c1ccccc1,CO,4.509995092013399
Nc1nnnn1N=Cc1ccccc1,CO,4.26245108973043
c1ccc2nc3c(cc2c1)[nH]c1ccccc13,CCO,4.449987220643427
c1ccc2nc3c(cc2c1)[nH]c1ccccc13,CO,4.529994673069142
Cn1c2cccc(=O)c-2nc2ccccc21,O,4.390935107103379
Cn1c2cccc(=O)c-2nc2ccccc21,CO,4.385606273598312
COc1cc2c(cc1OC)C(=O)CC(C)(C)O2,CO,4.500003068051694
Cn1c2cc(=O)ccc-2nc2ccccc21,CO,4.690001046883063
COc1ccc2nc3ccccc3nc2c1,CO,3.9684829485539352
CN1c2ccccc2S(=O)c2ccccc21,CO,3.7944880466591697
O=c1cc(/C=C/c2ccccc2)oc2ccccc12,CO,4.639994197400288
c1ccc(-c2nnc(-c3ccccc3)nn2)cc1,ClCCl,4.517987203025078
c1ccc(-c2nnc(-c3ccccc3)nn2)cc1,CCO,4.3222192947339195
c1ccc(-c2nnc(-c3ccccc3)nn2)cc1,CO,4.549997075548773
c1ccc2nc3c(nc2c1)CCCCCCCCCC3,CO,4.569993887567447
Cn1c(=O)c2[nH]cnc2n(C)c1=O,O,3.909983694939844
Cn1c(=O)c2[nH]cnc2n(C)c1=O,CCO,3.7745169657285498
Cn1c(=O)c2[nH]cnc2n(C)c1=O,CO,4.021189299069938
CN1C(=O)c2cc3ccccc3n2C1=O,CO,3.625312450961674
CN1C(=O)c2cc3ccccc3n2C1=S,CO,3.845098040014257
CCOC(=O)Cc1nc2ccccc2[nH]1,O,4.259999795081887
CCOC(=O)Cc1nc2ccccc2[nH]1,CO,3.909983694939844
O=C1NNC(=O)c2cccc3cccc1c23,ClC(Cl)Cl,4.181986424480151
O=C1NNC(=O)c2cccc3cccc1c23,O,4.464995978618864
O=C1NNC(=O)c2cccc3cccc1c23,C1COCCO1,4.522991647169023
O=C1NNC(=O)c2cccc3cccc1c23,CCCCCC,4.67999991622922
O=C1NNC(=O)c2cccc3cccc1c23,CO,4.528993787130841
c1ccc2c(c1)CN1Cc3ccccc3C1=N2,CO,4.509995092013399
Nc1cc2nc3ccccc3nc2cc1N,O,4.113943352306837
Nc1cc2nc3ccccc3nc2cc1N,CO,4.711807229041191
Nc1cc2nc3ccccc3nc2cc1N,Cc1ccccc1,4.02530586526477
Nc1cc2nc3ccccc3nc2cc1N,O,4.212187604403958
CC(=O)c1ccc(-c2ccc(C(C)=O)s2)s1,C1COCCO1,4.458788881710845
CC(=O)c1ccc(-c2ccc(C(C)=O)s2)s1,CCO,4.469998642218747
CC(=O)c1ccc(-c2ccc(C(C)=O)s2)s1,CO,4.567614442730845
O=c1cccc2n1CC1CC2CN(O)C1,CO,3.8300109359361176
O=C1c2ccccc2C(=O)N1/C=C/c1ccccc1,ClCCl,4.4346327661741425
O=C1c2ccccc2C(=O)N1/C=C/c1ccccc1,CC#N,4.463743721247059
O=C1c2ccccc2C(=O)N1/C=C/c1ccccc1,CO,4.353069502665453
O=C1c2ccccc2C(=O)N1/C=C/c1ccccc1,C1CCOC1,4.456791008541905
C[C@@H]1C(=O)O[C@@H]2C[C@@]3(C)CCC[C@H](C)C3=C[C@H]12,CO,3.860000023934774
Cc1ccc2[nH]c(-c3ccccc3O)nc2c1,CO,4.4031205211758175
COc1ccc2sc3ccccc3c(=O)c2c1,CC#N,3.781755374652469
COc1ccc2sc3ccccc3c(=O)c2c1,CCO,4.519998529118848
COc1ccc2sc3ccccc3c(=O)c2c1,CO,4.589994256560121
Cc1cc(O)c2c(=O)c3ccccc3oc2c1,CO,4.449987220643427
CNc1ccc2c3c(cccc13)C(=O)N(C)C2=O,CCO,4.281033367247727
CNc1ccc2c3c(cccc13)C(=O)N(C)C2=O,CO,4.204119982655925
Cc1[nH]c(=S)[nH]c(=O)c1CN1CCCCC1,CO,4.250005028486895
NC(Cc1c[nH]c2c(Cl)cccc12)C(=O)O,CO,4.600003086627741
N#C/C(=C\c1cc2ccccc2s1)c1ccccc1,CO,4.569993887567447
O=c1cc2oc3ccccc3nc-2c2ccccc12,CO,4.369994661608428
Cn1c(=O)c2c(ncn2C)n(C)c1=O,ClC(Cl)Cl,3.989983458301399
Cn1c(=O)c2c(ncn2C)n(C)c1=O,O,4.019988159591286
Cn1c(=O)c2c(ncn2C)n(C)c1=O,CCO,3.9822712330395684
Cn1c(=O)c2c(ncn2C)n(C)c1=O,CCO,3.9138138523837167
Cn1c(=O)c2c(ncn2C)n(C)c1=O,CO,4.220108088040055
O=c1c2ccc(O)cc2oc2cc(O)ccc12,CCO,4.628388930050312
O=c1c2ccc(O)cc2oc2cc(O)ccc12,CO,4.289990066054319
O=c1c2ccc(O)cc2oc2cc(O)ccc12,CO,4.639994197400288
O=C1C=CN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1,CO,3.059941888061955
COc1ccc(C=C2SC(=S)N(C)C2=O)cc1,CCO,4.479992562107072
COc1ccc(C=C2SC(=S)N(C)C2=O)cc1,CO,4.434568904034199
O=c1c2ccccc2[nH]c2c1[nH]c1ccccc12,CCO,4.479992562107072
O=c1c2ccccc2[nH]c2c1[nH]c1ccccc12,CO,4.58000068958904
c1ccc2nc3c4ccccc4c4ccccc4c3cc2c1,CO,4.320000804264728
O=c1cc(-c2ccccc2)oc2ccc3ccccc3c12,CO,4.223547855908593
c1ccc2c(c1)ccc1sc3nnnn3c12,CO,4.569993887567447
c1ccc2c(c1)ccc1sc3ccc4ccccc4c3c12,CC#N,4.720159303405957
c1ccc2c(c1)ccc1sc3ccc4ccccc4c3c12,CO,4.609999703842231
C1=C(c2ccccc2)SS2=C1C=C(c1ccccc1)S2,CO,4.7102527964630045
COc1cc2c(cc1OC)C(=O)N(C)C(=O)C2=O,CO,4.250420002308894
COc1c2ccoc2cc2oc(=O)ccc12,ClC(Cl)Cl,4.229999065949292
COc1c2ccoc2cc2oc(=O)ccc12,CCO,4.349997839199033
COc1c2ccoc2cc2oc(=O)ccc12,CO,4.354108439147401
c1ccc2c(c1)Nc1nc3ccccc3nc1S2,NC=O,4.060735603449318
c1ccc2c(c1)Nc1nc3ccccc3nc1S2,CO,5.033142177060625
CC(=O)SC[C@H]1C(=O)NC(=S)N1C(C)=O,CO,4.230448921378274
O=c1c(Br)cc(Br)c2n1C[C@@H]1CNC[C@H]2C1,CO,3.969974730121715
COc1ccc(/C=C/c2cc(=O)c3ccccc3o2)cc1,CO,4.509995092013399
COC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,CO,3.6931991451537174
Cn1c(=O)c2ncnnc2n(C)c1=O,CCO,4.220003426156936
