smiles,xrn
C1=CC2=C(C=C1)N=C1C(=C2)C2=C(C=CC=C2)C2=C1C=CC=C2,18500
O=C1C=C(OC2=CC=C3C=CC=CC3=C12)C1=CC=CC=C1,18991
S1C2=NN=NN2C2=C1C=CC1=C2C=CC=C1,19009
S1C2=C(C3=C1C=CC1=C3C=CC=C1)C1=C(C=CC=C1)C=C2,19171
S1C(=CC2=S1SC(=C2)C1=CC=CC=C1)C1=CC=CC=C1,19419
COC1=CC2=C(C=C1OC)C(=O)C(=O)N(C)C2=O,19462
COC1=C2C=CC(=O)OC2=CC2=C1C=CO2,19560
N1C2=C(SC3=NC4=CC=CC=C4N=C13)C=CC=C2,19906
CC(=O)SC[C@@H]1N(C(C)=O)C(=S)NC1=O,20129
BrC1=CC(Br)=C2[C@H]3CNC[C@H](C3)CN2C1=O,20354
COC1=CC=C(\C=C\C2=CC(=O)C3=C(O2)C=CC=C3)C=C1,20495
[H][C@]1(COC(C)(C)O1)[C@@]1([H])OC(=O)C(O)=C1OC,20706
CN1C(=O)N(C)C2=C(N=CN=N2)C1=O,21039
CC(=O)OC1(C)C=C(C)C2C=NNC2(C)C1=O,22073
CN(C)C1=CC=C(\C=C\C=C\C2=NC3=C(S2)C=CC=C3)C=C1,22109
CN(C)C1=CC2=C(C=C1)N=C1C=C(C)C(N)=CC1=N2,22518
O=C(NC1=NC2=C(S1)C=CC=C2)\C=C\C1=CC=CC=C1,22616
O[C@@H]1C[C@@H](OC2=C1C=C(Cl)C=C2)C1=CC=CC=C1,23092
N(C(NC1=NC=CC=C1)C1=CC=CC=C1)C1=NC=CC=C1,23182
O1C(=NC(=C1C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,23566
OC1=CC=C(Cl)C=C1C=NNC(=O)C1=CC=NC=C1,23775
COC1=CC2=C(C=C1)C(=O)C=C(O2)\C=C\C1=CC=CC=C1,24308
[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)C1=COC(C)=C1C(=O)OCC,24923
[H][C@]1(COC(C)(C)O1)[C@@]1([H])OC(=O)C(OC)=C1OC,25042
CCCCN1C2=CC=CC=C2N=C2C=CC(=O)C=C12,25108
COC1=CC=C(\C=C\C2=CC(=O)C3=CC(C)=CC=C3O2)C=C1,25169
CC1=CC=C(C=C1)C1=C(OC(=C1)C1=CC=CC=C1)C1=CC=CC=C1,25353
O=C1NC(=O)C2=NC3=C(C=CC4=C3C=CC=C4)N=C2N1,27171
CC1(C)CC(=O)C2=C(C1)NC1=C(C2)C(=O)CC(C)(C)C1,27640
COC1=CC=C(\C=C\C2=CC(=O)C3=C(O2)C=CC=C3)C=C1OC,27815
[H][C@@]12CC[C@H](C)[C@]3(O)C=CC(=O)[C@@]3(C)[C@]1([H])OC(=O)C2=C,28009
CC1=CN([C@H]2C[C@H](O)[C@@H](CBr)O2)C(=O)NC1=O,28010
O=C1NC(=O)C2=NC3=CC4=C(C=CC=C4)C=C3N=C2N1,28198
[H][C@@]12OC11CC\C=C(C)\CC3=C(C(C)=CO3)[C@]2([H])OC1=O,28948
O=C1C2=C(C=CC=C2)C(=O)C2=C1C=C1SC3=C(C=CC=C3)C1=C2,29211
COC1=CC=C2C(=O)C(C)=C(OC2=C1)\C=C\C1=CC=CC=C1,29711
OC1=CC=C(C=C1)C(=O)C1=NC(=CN1)C1=CC=C(O)C=C1,29887
COC1=CC2=C(N=CC=C2)C2=C1C(=O)C1=CC=CC=C1N2,30335
[H][C@@]12N3CCC1=CC[C@@H](O)[C@@]2([H])C1=CC2=C(OCO2)C=C1C3,30363
O=C1N2C(=CC3=CC=CC=C23)C(=O)N2C1=CC1=C2C=CC=C1,30426
OC(=O)[C@H]1CSC(=N1)C1=NC2=C(S1)C=C(O)C=C2,30484
CC(=O)OC1=C2NC3=C(C=CC=C3)C2=NC2=CC=CC=C12,30558
S1C=CC=C1C1=CC=C(S1)C1=CC=C(S1)C1=CC=CS1,30968
O=C1NC(=O)C2=NC3=C(N=C2N1)C1=C(C=CC=C1)C=C3,31121
OC[C@H]1O[C@@H](OC2=C(O)C=CC=C2)[C@H](O)[C@@H](O)[C@@H]1O,31153
BrC1=CC=C(C=C1)C1=NC2=C(C=CC=C2)N=C1CC1=CC=CC=C1,31160
OC[C@H]1O[C@@H](OC2=CC(O)=CC(O)=C2)[C@H](O)[C@@H](O)[C@@H]1O,31426
[H][C@]12OC(C)(C)O[C@@]1([H])[C@@H](O[C@@H]2CO)N1C=CC(=O)NC1=O,32671
OC1=CC2=C(C=C1)C(=O)\C(CO2)=C\C1=CC(O)=C(O)C=C1,32697
COC1=CC(O)=CC(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C1,33139
COC1=CC(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=CC=C1O,33246
N(C1=CC=CC=C1)C1=NN=C(NC2=CC=CC=C2)C2=C1C=CC=C2,33265
O=S1(=O)NC(C2=CC=CC=C12)(C1=CC=CC=C1)C1=CC=CC=C1,33618
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(Cl)C(=O)NC1=O,33663
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(Br)C(=O)NC1=O,33664
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(I)C(=O)NC1=O,33665
COC1=CC=C(\C=C\C2=CC(=O)C3=C(O2)C=C(OC)C=C3)C=C1,33738
COC1=CC2=C(C(=O)C=C(O2)C2=CC=CC=C2)C(O)=C1C,34130
COC1=C(OC)C=C(\C=C\C(=O)C2=C(O)C=C(C)OC2=O)C=C1,34149
CC(=O)NC1=CC=C(C=C2N=C(OC2=O)C2=CC=CC=C2)C=C1,34297
OC[C@H]1O[C@@H](OC2=CC=CC3=C2C=CC=C3)[C@H](O)[C@@H](O)[C@@H]1O,34364
NS(=O)(=O)C1=C(Cl)C=C2N=CNS(=O)(=O)C2=C1,34611
CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N2N=NN=C12,35013
OC1=CC=C(\C=C2/OC3=C(O)C(O)=CC=C3C2=O)C=C1O,35356
[H][C@@]12CC[C@@]3(CC)CCCN4CC[C@]1(C1=CC=CC(O)=C1N2)[C@@]34[H],35681
OC[C@H]1O[C@@H](OC2=C(C=CC=C2)C(O)=O)[C@H](O)[C@@H](O)[C@@H]1O,35920
CC1=C(O)C2=C(O[C@@H]([C@@H](O)C2=O)C2=CC=CC=C2)C=C1O,36290
OC[C@H]1O[C@@H](OC2=CC=C(O)C=C2CO)[C@H](O)[C@@H](O)[C@@H]1O,36596
