radius,n_bits,n_estimators,max_depth,min_samples_leaf,max_features,RMSE,MAE,R2,Pearson_r,time_s
2,1024,500,20.0,5,log2,74.7,55.77,0.5177,0.8234,3.2
3,2048,300,30.0,5,log2,74.8,55.7,0.5165,0.826,2.1
2,1024,300,20.0,5,log2,74.84,55.89,0.5159,0.8243,2.3
2,1024,1000,20.0,5,log2,74.85,55.92,0.5158,0.8237,6.2
2,2048,500,30.0,5,log2,76.79,57.28,0.4903,0.8237,7.8
2,2048,1000,30.0,5,log2,77.06,57.6,0.4868,0.8249,7.8
2,2048,300,30.0,5,log2,77.15,57.58,0.4856,0.8236,2.7
2,2048,500,20.0,2,log2,78.53,59.49,0.467,0.8283,7.3
2,2048,300,20.0,2,log2,78.88,59.8,0.4623,0.8274,2.6
2,2048,1000,20.0,2,log2,78.89,59.88,0.4622,0.8321,12.4
3,2048,500,20.0,5,log2,79.42,60.0,0.4549,0.8074,4.2
3,2048,1000,20.0,5,log2,79.57,60.13,0.4528,0.8072,6.2
3,2048,300,20.0,5,log2,79.8,60.3,0.4496,0.8078,2.3
2,2048,500,20.0,5,log2,82.16,62.01,0.4167,0.8078,7.4
2,2048,1000,20.0,5,log2,82.59,62.43,0.4105,0.812,5.7
2,2048,300,20.0,5,log2,82.87,62.58,0.4065,0.8081,2.0
