canon,n_solvents,lmax_min,lmax_max,lmax_median,span_nm
CCN(CC)c1ccc2c(C#N)c(/C=C(\C#N)c3nc4ccccc4s3)c(=O)oc2c1,9,525.0,611.0,568.0,86.0
C[Si](C)(C)[Si](c1ccc(-c2ccc(-c3ccc(-c4ccc([Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)s4)s3)s2)s1)([Si](C)(C)C)[Si](C)(C)C,2,331.0,417.0,374.0,86.0
C[n+]1ccc(-c2ccc([O-])cc2)cc1,8,394.0,479.0,458.5,85.0
c1ccc(-c2nc(-c3ccccc3)n3ccccc23)cc1,6,301.0,385.0,305.0,84.0
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/C=C/c2ccccc2)=CC(/C=C/C=C/c2ccccc2)=[O+]1,8,468.0,550.0,473.0,82.0
CCCCN(CCCC)c1ccc2nc3c4ccccc4c(=O)c(-c4ccccc4)c-3oc2c1,2,549.0,631.0,590.0,82.0
CCC/N=C/c1cc2ccc(N(C)C)cc2cc1OC,9,368.0,450.0,369.0,82.0
N#C/C(=N/Nc1ccc(C#N)cc1)c1nc(-c2ccccc2)cs1,5,396.0,477.0,399.0,81.0
O=C(N/N=C/c1ccccc1O)c1ccccc1O,7,331.0,412.0,335.0,81.0
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,21,391.8694918,472.0432392,398.49051789999993,80.17374740000002
COc1ccc(-c2csc(/C(C#N)=N\Nc3ccc(C#N)cc3)n2)cc1,5,401.0,481.0,404.0,80.0
CCCCN(CCCC)c1ccc2nc3c4ccccc4c(=O)c(-c4c5ccccc5cc5ccccc45)c-3oc2c1,2,555.0,635.0,595.0,80.0
Cc1ccccc1,2,256.4760195,336.0,296.23800975,79.5239805
c1ccc(N2N=C(c3c4ccccc4cc4ccccc34)CC2c2ccc3ccc4cccc5ccc2c3c45)cc1,2,425.0,503.0,464.0,78.0
O=C(NCc1cc(=O)oc2cc(O)c(Br)cc12)c1cccnc1,4,330.0,408.0,382.0,78.0
O=[N+]([O-])c1ccc(O)c(O)c1,2,346.0,423.0,384.5,77.0
C[P+]1(c2ccccc2)C2=C(c3ccccc31)S(=O)(=O)c1ccccc12,3,319.0,395.0,388.0,76.0
COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,5,298.0,374.0,330.0,76.0
CC1(C)C(/C=C/c2cc3ccc(O)cc3oc2=O)=[N+](CCCS(=O)(=O)[O-])c2ccccc21,3,555.0,630.0,623.0,75.0
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(-c2nc(-c3ccc(P(=O)(c4ccccc4)c4ccccc4)cc3)nc(-c3ccc(P(=O)(c4ccccc4)c4ccccc4)cc3)n2)cc1,8,361.4266843,435.7808858,370.7397622,74.35420150000004
CCCCC[n+]1ccc(/C=C/c2ccc(N(C)C)c3ccccc23)c2ccccc21,13,452.0,526.0,503.0,74.0
COc1ccc(-n2cccc2)cc1,3,252.0,325.0,252.0,73.0
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2cccc3ccccc23)=CC(/C=C/c2cccc3ccccc23)=[O+]1,8,464.0,537.0,470.0,73.0
CC1(C)C(/C=C/C=C/c2cc3ccc(O)cc3oc2=O)=[N+](CCCS(=O)(=O)[O-])c2ccccc21,2,491.0,564.0,527.5,73.0
O=[N+]([O-])c1ccccc1O,2,338.0,411.0,374.5,73.0
CN(C)c1ccc(/C=C/c2cc[n+](C)cc2)cc1,13,449.0002867,522.0,475.0000381,72.9997133
CCN(CC)c1ccc2cc(-c3cn4ccccc4n3)c(=O)oc2c1,11,407.0,479.0,424.0,72.0
c1cc2ccc3cc4[nH]ccc4c4ccc(c1)c2c34,2,384.0,456.0,420.0,72.0
O=C(N/N=C/c1ccccc1O)c1cccc2ccccc12,7,328.0,400.0,334.0,72.0
CN(C)c1ccc(/C=C/c2cc[n+](C)c3ccccc23)cc1,5,510.0,581.0,540.0,71.0
O=Cc1cc(O)c(C=O)cc1O,12,356.0,427.0,413.5,71.0
CCCCCCCCCCOC(=O)c1ccc2c3ccc(C(=O)OCCCCCCCCCC)c4c(C(=O)OCCCCCCCCCC)cc5[nH]c6cc(C(=O)OCCCCCCCCCC)c1c2c6c5c43,2,410.0,479.0,444.5,69.0
CN(C)c1ccc(/C=C/C=C2\CC/C(=C\C=C\c3ccc(N(C)C)cc3)C2=O)cc1,20,465.0,534.0,499.0,69.0
CCN(CC)c1ccc(/C=C/C2=[O+][B-](F)(F)Oc3c2c(=O)oc2cc(N(CC)CC)ccc32)cc1,13,542.0,610.0,582.0,68.0
CCCN(c1ccccc1)c1ccc2c(c1)C(CC)(CC)c1cc(/C=C/c3ccc(/C=C(\C#N)C(=O)O)s3)ccc1-2,8,412.0,480.0,451.0,68.0
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc2oc3nc4oc5cc(C(F)(F)F)ccc5c4cc3c2c1,2,346.0,414.0,380.0,68.0
CC1(C)CC(=O)C2=C(C1)Oc1ccc3ccc(O)cc3c1C2c1ccccn1,7,274.0,341.0,334.0,67.0
O=C(N/N=C/c1ccccc1O)c1cc2ccccc2cc1O,7,334.0,400.0,340.0,66.0
CCOC(=O)c1ccc(C2=C(c3ccccc3)c3sc4ccccc4[n+]3[B-](F)(F)O2)cc1,2,374.0,440.0,407.0,66.0
