Model,RMSE,MAE,R2,Pearson_r
BiGRU + Solvent (v2),36.45 +/- 1.12,20.70 +/- 0.51,0.8836 +/- 0.0058,0.9402 +/- 0.0031
RF + Morgan FP MSE (v2),32.18 +/- 1.74,15.42 +/- 0.47,0.9091 +/- 0.0095,0.9538 +/- 0.0049
RF + Morgan FP 1024 MSE (v2),32.60 +/- 1.31,15.82 +/- 0.35,0.9068 +/- 0.0074,0.9527 +/- 0.0039
XGBoost + Morgan FP MSE (v2),33.70 +/- 1.61,20.05 +/- 0.48,0.9003 +/- 0.0094,0.9496 +/- 0.0049
XGBoost + Morgan FP MAE (v2),40.75 +/- 1.58,21.99 +/- 0.47,0.8544 +/- 0.0105,0.9272 +/- 0.0055
